Stroke (mm),Force (kg)
0,190
0.4495,190
0.913399999999999,158
1.3579,190
1.8122,205
2.2761,190
2.7255,158
3.1845,158
3.6291,221
4.0495,285
4.4651,332
4.8517,348
5.219,427
5.5427,506
5.8327,537
6.0839,585
6.3062,648
6.4802,648
6.6348,680
6.7653,680
6.8909,727
6.9924,727
7.0842,759
7.1664,727
7.234,790
7.3065,759
7.379,790
7.4225,806
7.4901,790
7.5481,790
7.6013,806
7.6738,822
7.7366,822
7.8139,822
7.8912,838
7.9685,854
8.0555,854
8.1328,854
8.2198,885
8.3068,885
8.389,917
8.4759,885
8.5677,917
8.6741,917
8.7852,917
8.8915,948
9.0268,964
9.1573,996
9.2974,1010
9.4714,1040
9.6405,1040
9.7613,1010
9.8628,1030
9.945,1030
10.0174,1030
10.0851,1040
10.1672,1040
10.2397,1040
10.3267,1040
10.3992,1070
10.4765,1110
10.5683,1110
10.6456,1110
10.7375,1110
10.8196,1120
10.9066,1140
10.9984,1140
11.0902,1150
11.1869,1190
11.2787,1190
11.3608,1200
11.4575,1190
11.559,1200
11.6604,1230
11.7522,1220
11.8441,1250
11.9407,1260
12.0277,1260
12.134,1250
12.2258,1280
12.3273,1260
12.4336,1280
12.5254,1300
12.6269,1300
12.7332,1300
12.8444,1330
12.9458,1360
13.0521,1330
13.1633,1360
13.2744,1360
13.3807,1360
13.487,1360
13.5982,1410
13.7093,1380
13.8156,1360
13.9316,1360
14.0476,1360
14.1539,1410
14.2747,1360
14.3907,1410
14.497,1390
14.6178,1410
14.7435,1390
14.8643,1390
14.9851,1420
15.1107,1410
15.2363,1410
15.3668,1440
15.4876,1440
15.6133,1420
15.7486,1450
15.8646,1470
15.9902,1470
16.1255,1490
16.2511,1490
16.3768,1500
16.5072,1520
16.6281,1500
16.7537,1500
16.8842,1520
17.0195,1530
17.1451,1530
17.2804,1530
17.4109,1550
17.5414,1550
17.6718,1580
17.8168,1600
17.9521,1560
18.0922,1580
18.2227,1580
18.358,1580
18.4982,1610
18.6383,1550
18.7736,1600
18.9137,1600
19.0346,1580
19.1505,1580
19.223,1560
19.2907,1560
19.3293,1530
19.3631,1550
19.3776,1490
19.3921,1500
19.3921,1490
19.3921,1490
19.4018,1360
19.4018,1260
19.4018,1120
19.4115,1030
